cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0010222,C0752046,LOCATION_OF,Couples (persons),Single Nucleotide Polymorphism,famg,nusq,1,LOCATION_OF_FAMGlocfNUSQ
C0015576,C0009221,LOCATION_OF,Family,Codon (nucleotide sequence),famg,nusq,4,LOCATION_OF_FAMGlocfNUSQ
C0015576,C0009802,LOCATION_OF,Family,Conserved Sequence,famg,nusq,7,LOCATION_OF_FAMGlocfNUSQ
C0015576,C0162326,LOCATION_OF,Family,DNA Sequence,famg,nusq,38,LOCATION_OF_FAMGlocfNUSQ
C0015576,C0162327,LOCATION_OF,Family,RNA Sequence,famg,nusq,1,LOCATION_OF_FAMGlocfNUSQ
C0015576,C0242611,LOCATION_OF,Family,"Codon, Terminator",famg,nusq,1,LOCATION_OF_FAMGlocfNUSQ
C0015576,C0599780,LOCATION_OF,Family,cis acting element,famg,nusq,4,LOCATION_OF_FAMGlocfNUSQ
C0015576,C0752046,LOCATION_OF,Family,Single Nucleotide Polymorphism,famg,nusq,2,LOCATION_OF_FAMGlocfNUSQ
C0015576,C1512886,LOCATION_OF,Family,Internal Ribosome Entry Sites,famg,nusq,1,LOCATION_OF_FAMGlocfNUSQ
C0015576,C1883633,LOCATION_OF,Family,3' Region,famg,nusq,1,LOCATION_OF_FAMGlocfNUSQ
C0015576,C3178810,LOCATION_OF,Family,Transcriptome,famg,nusq,1,LOCATION_OF_FAMGlocfNUSQ
C0020052,C0162326,LOCATION_OF,Households,DNA Sequence,famg,nusq,1,LOCATION_OF_FAMGlocfNUSQ
C0026591,C0752046,LOCATION_OF,Mother (person),Single Nucleotide Polymorphism,famg,nusq,1,LOCATION_OF_FAMGlocfNUSQ
C0026753,C0162326,LOCATION_OF,Multiple Birth Offspring,DNA Sequence,famg,nusq,1,LOCATION_OF_FAMGlocfNUSQ
C0026753,C0242611,LOCATION_OF,Multiple Birth Offspring,"Codon, Terminator",famg,nusq,1,LOCATION_OF_FAMGlocfNUSQ
C0026753,C0600600,LOCATION_OF,Multiple Birth Offspring,3' Untranslated Regions,famg,nusq,1,LOCATION_OF_FAMGlocfNUSQ
C0026753,C0752046,LOCATION_OF,Multiple Birth Offspring,Single Nucleotide Polymorphism,famg,nusq,5,LOCATION_OF_FAMGlocfNUSQ
C0026753,C2329837,LOCATION_OF,Multiple Birth Offspring,Regulatory DNA sequence,famg,nusq,1,LOCATION_OF_FAMGlocfNUSQ
C0030551,C0009802,LOCATION_OF,parent,Conserved Sequence,famg,nusq,1,LOCATION_OF_FAMGlocfNUSQ
C0030551,C0162326,LOCATION_OF,parent,DNA Sequence,famg,nusq,7,LOCATION_OF_FAMGlocfNUSQ
C0030551,C0752046,LOCATION_OF,parent,Single Nucleotide Polymorphism,famg,nusq,2,LOCATION_OF_FAMGlocfNUSQ
C0037047,C0162326,LOCATION_OF,Sibling,DNA Sequence,famg,nusq,1,LOCATION_OF_FAMGlocfNUSQ
C0086282,C0162326,LOCATION_OF,Family member,DNA Sequence,famg,nusq,1,LOCATION_OF_FAMGlocfNUSQ
C0086282,C0600600,LOCATION_OF,Family member,3' Untranslated Regions,famg,nusq,1,LOCATION_OF_FAMGlocfNUSQ
C0680063,C0162326,LOCATION_OF,Offspring,DNA Sequence,famg,nusq,1,LOCATION_OF_FAMGlocfNUSQ
C0680063,C0162327,LOCATION_OF,Offspring,RNA Sequence,famg,nusq,1,LOCATION_OF_FAMGlocfNUSQ
C0680063,C0600600,LOCATION_OF,Offspring,3' Untranslated Regions,famg,nusq,1,LOCATION_OF_FAMGlocfNUSQ
C0680063,C0752046,LOCATION_OF,Offspring,Single Nucleotide Polymorphism,famg,nusq,1,LOCATION_OF_FAMGlocfNUSQ
C0680063,C1520677,LOCATION_OF,Offspring,Chromosome 16 Short Arm,famg,nusq,1,LOCATION_OF_FAMGlocfNUSQ
C0870134,C0162326,LOCATION_OF,Ancestor,DNA Sequence,famg,nusq,5,LOCATION_OF_FAMGlocfNUSQ
C0870545,C0752046,LOCATION_OF,family of origin,Single Nucleotide Polymorphism,famg,nusq,2,LOCATION_OF_FAMGlocfNUSQ
