cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0000936,C0026882,COEXISTS_WITH,Visual Accommodation,Mutation,ortf,genf,1,COEXISTS_WITH_ORTFcxwtGENF
C0036658,C0020202,COEXISTS_WITH,Esthesia,Crossbreeding,ortf,genf,1,COEXISTS_WITH_ORTFcxwtGENF
C0036658,C0035380,COEXISTS_WITH,Esthesia,Reverse Transcription,ortf,genf,1,COEXISTS_WITH_ORTFcxwtGENF
C0036658,C1519877,COEXISTS_WITH,Esthesia,V(D)J Recombination,ortf,genf,1,COEXISTS_WITH_ORTFcxwtGENF
C0036658,C1749524,COEXISTS_WITH,Esthesia,mRNA processing,ortf,genf,1,COEXISTS_WITH_ORTFcxwtGENF
C0301872,C0017262,COEXISTS_WITH,Immune response,Gene Expression,ortf,genf,2,COEXISTS_WITH_ORTFcxwtGENF
C0301872,C0040649,COEXISTS_WITH,Immune response,"Transcription, Genetic",ortf,genf,2,COEXISTS_WITH_ORTFcxwtGENF
C0301872,C0678951,COEXISTS_WITH,Immune response,gene polymorphism,ortf,genf,1,COEXISTS_WITH_ORTFcxwtGENF
C0301872,C1158770,COEXISTS_WITH,Immune response,Transcriptional Regulation,ortf,genf,1,COEXISTS_WITH_ORTFcxwtGENF
C0301872,C1514665,COEXISTS_WITH,Immune response,RNA Interference Pathway,ortf,genf,1,COEXISTS_WITH_ORTFcxwtGENF
C0520990,C0040649,COEXISTS_WITH,Host defense,"Transcription, Genetic",ortf,genf,1,COEXISTS_WITH_ORTFcxwtGENF
C1160340,C0017262,COEXISTS_WITH,brain development,Gene Expression,ortf,genf,1,COEXISTS_WITH_ORTFcxwtGENF
C1371554,C0026882,COEXISTS_WITH,Decreased DNA Replication,Mutation,ortf,genf,1,COEXISTS_WITH_ORTFcxwtGENF
