cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0819757,C0004793,LOCATION_OF,Structure of parenchyma of lung,Base Sequence,tisu,nusq,1,LOCATION_OF_TISUlocfNUSQ
C0819757,C0162326,LOCATION_OF,Structure of parenchyma of lung,DNA Sequence,tisu,nusq,4,LOCATION_OF_TISUlocfNUSQ
C1180138,C0162326,LOCATION_OF,Principal tissue,DNA Sequence,tisu,nusq,1,LOCATION_OF_TISUlocfNUSQ
C1180138,C0162327,LOCATION_OF,Principal tissue,RNA Sequence,tisu,nusq,1,LOCATION_OF_TISUlocfNUSQ
C1180138,C0242611,LOCATION_OF,Principal tissue,"Codon, Terminator",tisu,nusq,1,LOCATION_OF_TISUlocfNUSQ
C1292533,C0004793,LOCATION_OF,Tissue specimen,Base Sequence,tisu,nusq,2,LOCATION_OF_TISUlocfNUSQ
C1292533,C0162326,LOCATION_OF,Tissue specimen,DNA Sequence,tisu,nusq,3,LOCATION_OF_TISUlocfNUSQ
C1514521,C0162326,LOCATION_OF,Prostatic Tissue,DNA Sequence,tisu,nusq,1,LOCATION_OF_TISUlocfNUSQ
C1515315,C0242610,LOCATION_OF,Mouse Testis,"Codon, Initiator",tisu,nusq,1,LOCATION_OF_TISUlocfNUSQ
C1518039,C3178810,LOCATION_OF,Mouse Lung,Transcriptome,tisu,nusq,2,LOCATION_OF_TISUlocfNUSQ
C1519524,C0004793,LOCATION_OF,Paraffin Embedded Tissue,Base Sequence,tisu,nusq,1,LOCATION_OF_TISUlocfNUSQ
C1522281,C0162326,LOCATION_OF,Intestine - Large Intestine - Colon (MMHCC),DNA Sequence,tisu,nusq,2,LOCATION_OF_TISUlocfNUSQ
C1522642,C0004793,LOCATION_OF,Clone,Base Sequence,tisu,nusq,4,LOCATION_OF_TISUlocfNUSQ
C1522642,C0079160,LOCATION_OF,Clone,Consensus Sequence,tisu,nusq,1,LOCATION_OF_TISUlocfNUSQ
C1522642,C0080089,LOCATION_OF,Clone,Reading Frames (Nucleotide Sequence),tisu,nusq,1,LOCATION_OF_TISUlocfNUSQ
C1522642,C0162326,LOCATION_OF,Clone,DNA Sequence,tisu,nusq,8,LOCATION_OF_TISUlocfNUSQ
C1522642,C0600204,LOCATION_OF,Clone,DNA Insertion Elements,tisu,nusq,1,LOCATION_OF_TISUlocfNUSQ
C1522642,C0600600,LOCATION_OF,Clone,3' Untranslated Regions,tisu,nusq,3,LOCATION_OF_TISUlocfNUSQ
C1522642,C0752046,LOCATION_OF,Clone,Single Nucleotide Polymorphism,tisu,nusq,1,LOCATION_OF_TISUlocfNUSQ
C1522642,C1882940,LOCATION_OF,Clone,Restriction Site,tisu,nusq,1,LOCATION_OF_TISUlocfNUSQ
C1522642,C1956150,LOCATION_OF,Clone,Opal Stop Codon,tisu,nusq,1,LOCATION_OF_TISUlocfNUSQ
C2316368,C0004793,LOCATION_OF,Tissue section,Base Sequence,tisu,nusq,2,LOCATION_OF_TISUlocfNUSQ
C2316368,C0162326,LOCATION_OF,Tissue section,DNA Sequence,tisu,nusq,1,LOCATION_OF_TISUlocfNUSQ
