cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0000925,C0871489,PROCESS_OF,Incised wound,Team,inpo,grup,1,PROCESS_OF_INPOprcfGRUP
C0000932,C0009462,PROCESS_OF,Traffic accidents,Community,inpo,grup,1,PROCESS_OF_INPOprcfGRUP
C0003044,C0086418,PROCESS_OF,Animal bite,Homo sapiens,inpo,grup,2,PROCESS_OF_INPOprcfGRUP
C0004063,C0009462,PROCESS_OF,Assault,Community,inpo,grup,1,PROCESS_OF_INPOprcfGRUP
C0004063,C0086418,PROCESS_OF,Assault,Homo sapiens,inpo,grup,1,PROCESS_OF_INPOprcfGRUP
C0005658,C0009462,PROCESS_OF,bite injury,Community,inpo,grup,2,PROCESS_OF_INPOprcfGRUP
C0005658,C0086418,PROCESS_OF,bite injury,Homo sapiens,inpo,grup,5,PROCESS_OF_INPOprcfGRUP
C0005700,C0009462,PROCESS_OF,Blast Injuries,Community,inpo,grup,2,PROCESS_OF_INPOprcfGRUP
C0006057,C0086418,PROCESS_OF,Botulism,Homo sapiens,inpo,grup,9,PROCESS_OF_INPOprcfGRUP
C0006434,C0086418,PROCESS_OF,Burn injury,Homo sapiens,inpo,grup,3,PROCESS_OF_INPOprcfGRUP
C0006434,C0871489,PROCESS_OF,Burn injury,Team,inpo,grup,1,PROCESS_OF_INPOprcfGRUP
C0010957,C0009462,PROCESS_OF,Tissue damage,Community,inpo,grup,1,PROCESS_OF_INPOprcfGRUP
C0010957,C0086418,PROCESS_OF,Tissue damage,Homo sapiens,inpo,grup,5,PROCESS_OF_INPOprcfGRUP
C0012691,C0009462,PROCESS_OF,Dislocations,Community,inpo,grup,2,PROCESS_OF_INPOprcfGRUP
C0013142,C0086418,PROCESS_OF,Drowning,Homo sapiens,inpo,grup,1,PROCESS_OF_INPOprcfGRUP
C0013221,C0086418,PROCESS_OF,Drug toxicity,Homo sapiens,inpo,grup,2,PROCESS_OF_INPOprcfGRUP
C0014412,C0086418,PROCESS_OF,Environmental Exposure,Homo sapiens,inpo,grup,2,PROCESS_OF_INPOprcfGRUP
C0014714,C0009462,PROCESS_OF,Ergotism,Community,inpo,grup,1,PROCESS_OF_INPOprcfGRUP
C0015256,C0009932,PROCESS_OF,Excoriation,Control Groups,inpo,grup,1,PROCESS_OF_INPOprcfGRUP
C0015806,C0009932,PROCESS_OF,Femoral Neck Fractures,Control Groups,inpo,grup,1,PROCESS_OF_INPOprcfGRUP
C0016479,C0086418,PROCESS_OF,Food Poisoning,Homo sapiens,inpo,grup,22,PROCESS_OF_INPOprcfGRUP
C0016655,C0086418,PROCESS_OF,"Fractures, Multiple",Homo sapiens,inpo,grup,1,PROCESS_OF_INPOprcfGRUP
C0016658,C0009932,PROCESS_OF,Fracture,Control Groups,inpo,grup,2,PROCESS_OF_INPOprcfGRUP
C0016658,C0086418,PROCESS_OF,Fracture,Homo sapiens,inpo,grup,2,PROCESS_OF_INPOprcfGRUP
C0018571,C2699414,PROCESS_OF,Hand Injuries,Committee,inpo,grup,1,PROCESS_OF_INPOprcfGRUP
C0019557,C0009932,PROCESS_OF,Hip Fractures,Control Groups,inpo,grup,1,PROCESS_OF_INPOprcfGRUP
C0019557,C0086418,PROCESS_OF,Hip Fractures,Homo sapiens,inpo,grup,1,PROCESS_OF_INPOprcfGRUP
C0021564,C0086418,PROCESS_OF,Insect Bites,Homo sapiens,inpo,grup,1,PROCESS_OF_INPOprcfGRUP
C0023176,C0009462,PROCESS_OF,Lead Poisoning,Community,inpo,grup,1,PROCESS_OF_INPOprcfGRUP
C0023176,C0086418,PROCESS_OF,Lead Poisoning,Homo sapiens,inpo,grup,1,PROCESS_OF_INPOprcfGRUP
C0023176,C1633987,PROCESS_OF,Lead Poisoning,Flock,inpo,grup,1,PROCESS_OF_INPOprcfGRUP
C0026953,C0086418,PROCESS_OF,Mycotoxicosis,Homo sapiens,inpo,grup,1,PROCESS_OF_INPOprcfGRUP
