cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0000677,C0301872,AUGMENTS,"9,10-Dimethyl-1,2-benzanthracene",Immune response,hops,ortf,1,AUGMENTS_HOPSaugmORTF
C0007018,C1817756,AUGMENTS,carbon monoxide,Immune System Processes,hops,ortf,2,AUGMENTS_HOPSaugmORTF
C0007090,C0162337,AUGMENTS,Carcinogens,Vascular Permeability,hops,ortf,1,AUGMENTS_HOPSaugmORTF
C0007090,C0302600,AUGMENTS,Carcinogens,Angiogenic Process,hops,ortf,1,AUGMENTS_HOPSaugmORTF
C0007090,C1160389,AUGMENTS,Carcinogens,Lung Development,hops,ortf,1,AUGMENTS_HOPSaugmORTF
C0013328,C0079043,AUGMENTS,Chlorpyrifos,Bronchoconstriction,hops,ortf,1,AUGMENTS_HOPSaugmORTF
C0014264,C0027540,AUGMENTS,Endotoxins,Necrosis,hops,ortf,1,AUGMENTS_HOPSaugmORTF
C0014264,C0162336,AUGMENTS,Endotoxins,"Permeability, Microvascular",hops,ortf,1,AUGMENTS_HOPSaugmORTF
C0014264,C0162337,AUGMENTS,Endotoxins,Vascular Permeability,hops,ortf,1,AUGMENTS_HOPSaugmORTF
C0014264,C0301872,AUGMENTS,Endotoxins,Immune response,hops,ortf,2,AUGMENTS_HOPSaugmORTF
C0014264,C0678860,AUGMENTS,Endotoxins,systemic blood circulation,hops,ortf,1,AUGMENTS_HOPSaugmORTF
C0015111,C0027540,AUGMENTS,Ethylnitrosourea,Necrosis,hops,ortf,1,AUGMENTS_HOPSaugmORTF
C0015309,C0031133,AUGMENTS,Exotoxins,Peristalsis,hops,ortf,1,AUGMENTS_HOPSaugmORTF
C0020282,C0302600,AUGMENTS,Hydrogen Sulfide,Angiogenic Process,hops,ortf,1,AUGMENTS_HOPSaugmORTF
C0022181,C0031133,AUGMENTS,isoflurophate,Peristalsis,hops,ortf,1,AUGMENTS_HOPSaugmORTF
C0037366,C3852953,AUGMENTS,Smoke,Pulmonary Arterial Remodeling,hops,ortf,1,AUGMENTS_HOPSaugmORTF
C0040329,C0162337,AUGMENTS,Tobacco,Vascular Permeability,hops,ortf,1,AUGMENTS_HOPSaugmORTF
C0040329,C0301872,AUGMENTS,Tobacco,Immune response,hops,ortf,1,AUGMENTS_HOPSaugmORTF
C0053800,C0301872,AUGMENTS,bisphenol A,Immune response,hops,ortf,1,AUGMENTS_HOPSaugmORTF
C0053800,C1656975,AUGMENTS,bisphenol A,gland development,hops,ortf,1,AUGMENTS_HOPSaugmORTF
C0085241,C3852953,AUGMENTS,Monocrotaline,Pulmonary Arterial Remodeling,hops,ortf,1,AUGMENTS_HOPSaugmORTF
C0239059,C1817756,AUGMENTS,Cigarette smoke (substance),Immune System Processes,hops,ortf,2,AUGMENTS_HOPSaugmORTF
C0242402,C0036658,AUGMENTS,Opioids,Esthesia,hops,ortf,1,AUGMENTS_HOPSaugmORTF
C0242402,C0234194,AUGMENTS,Opioids,Nociception,hops,ortf,1,AUGMENTS_HOPSaugmORTF
C0544309,C0237453,AUGMENTS,repellent,Sensory Adaptation,hops,ortf,1,AUGMENTS_HOPSaugmORTF
C0599787,C0042401,AUGMENTS,toxicant,Vasodilation,hops,ortf,1,AUGMENTS_HOPSaugmORTF
C0599787,C0301872,AUGMENTS,toxicant,Immune response,hops,ortf,1,AUGMENTS_HOPSaugmORTF
C0949307,C0234194,AUGMENTS,formalin,Nociception,hops,ortf,3,AUGMENTS_HOPSaugmORTF
C0950580,C0301872,AUGMENTS,sentinel,Immune response,hops,ortf,2,AUGMENTS_HOPSaugmORTF
